Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2024-08-14 00:00:00,2024-08-15 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-08-05 00:00:00,2024-08-06 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-08-03 00:00:00,2024-08-04 16:08:07,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-07-25 00:00:00,2024-07-26 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-07-22 00:00:00,2024-07-23 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-07-21 00:00:00,2024-07-22 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-07-18 00:00:00,2024-07-19 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-07-17 00:00:00,2024-07-18 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-06-22 00:00:00,2024-06-23 16:00:37,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-06-19 00:00:00,2024-06-20 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18 00:00:00,2024-06-19 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-06-10 00:00:00,2024-06-11 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-06-09 00:00:00,2024-06-10 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-06-08 00:00:00,2024-06-09 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-06-06 00:00:00,2024-06-07 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
2024-05-14 00:00:00,2024-05-15 00:00:00,UTC-05:00,,,,,,,,,,,,,,,,,,,,,,,
